2022-09-30 09:17:05.382269 Start \(≧▽≦)/
2022-09-30 09:17:05.382348 Loading data from pkl...
2022-09-30 09:17:06.613260 Loaded Data (=ﾟωﾟ)ﾉ
2022-09-30 09:17:21.716700 Step 27/27: loss = 3.242, loss_main = 3.241, loss_regu = 0.001
2022-09-30 09:17:21.747242 Train 1/100 {'loss': 3.36267450120714, 'loss_main': 3.3613285753462048, 'precision': 0.062108262108262105}
2022-09-30 09:17:21.912924 Step 0/27: loss = 3.218, loss_main = 3.216, loss_regu = 0.001
2022-09-30 09:17:22.111222 Step 1/27: loss = 3.215, loss_main = 3.213, loss_regu = 0.001
2022-09-30 09:17:22.327426 Step 2/27: loss = 3.235, loss_main = 3.234, loss_regu = 0.001
2022-09-30 09:17:22.530427 Step 3/27: loss = 3.231, loss_main = 3.229, loss_regu = 0.001
2022-09-30 09:17:22.717231 Step 4/27: loss = 3.202, loss_main = 3.201, loss_regu = 0.001
2022-09-30 09:17:22.913632 Step 5/27: loss = 3.220, loss_main = 3.219, loss_regu = 0.001
2022-09-30 09:17:23.107050 Step 6/27: loss = 3.218, loss_main = 3.216, loss_regu = 0.001
2022-09-30 09:17:23.303044 Step 7/27: loss = 3.202, loss_main = 3.201, loss_regu = 0.001
2022-09-30 09:17:23.502137 Step 8/27: loss = 3.225, loss_main = 3.224, loss_regu = 0.001
2022-09-30 09:17:23.690428 Step 9/27: loss = 3.227, loss_main = 3.226, loss_regu = 0.001
2022-09-30 09:17:23.877896 Step 10/27: loss = 3.252, loss_main = 3.251, loss_regu = 0.001
2022-09-30 09:17:24.056883 Step 11/27: loss = 3.233, loss_main = 3.232, loss_regu = 0.001
2022-09-30 09:17:24.269177 Step 12/27: loss = 3.230, loss_main = 3.229, loss_regu = 0.001
2022-09-30 09:17:24.452816 Step 13/27: loss = 3.214, loss_main = 3.213, loss_regu = 0.001
2022-09-30 09:17:24.640329 Step 14/27: loss = 3.223, loss_main = 3.222, loss_regu = 0.001
2022-09-30 09:17:24.832453 Step 15/27: loss = 3.199, loss_main = 3.198, loss_regu = 0.001
2022-09-30 09:17:25.024451 Step 16/27: loss = 3.219, loss_main = 3.218, loss_regu = 0.001
2022-09-30 09:17:25.210076 Step 17/27: loss = 3.216, loss_main = 3.215, loss_regu = 0.001
2022-09-30 09:17:25.394329 Step 18/27: loss = 3.222, loss_main = 3.221, loss_regu = 0.001
2022-09-30 09:17:25.571338 Step 19/27: loss = 3.224, loss_main = 3.222, loss_regu = 0.001
2022-09-30 09:17:25.752425 Step 20/27: loss = 3.216, loss_main = 3.215, loss_regu = 0.001
2022-09-30 09:17:25.947809 Step 21/27: loss = 3.204, loss_main = 3.203, loss_regu = 0.001
2022-09-30 09:17:26.136090 Step 22/27: loss = 3.227, loss_main = 3.226, loss_regu = 0.001
2022-09-30 09:17:26.342114 Step 23/27: loss = 3.199, loss_main = 3.198, loss_regu = 0.001
2022-09-30 09:17:26.551887 Step 24/27: loss = 3.216, loss_main = 3.215, loss_regu = 0.001
2022-09-30 09:17:26.782625 Step 25/27: loss = 3.205, loss_main = 3.204, loss_regu = 0.001
2022-09-30 09:17:26.995013 Step 26/27: loss = 3.230, loss_main = 3.229, loss_regu = 0.001
2022-09-30 09:17:27.100352 Step 27/27: loss = 3.217, loss_main = 3.216, loss_regu = 0.001
2022-09-30 09:17:27.127871 Train 2/100 {'loss': 3.3384768962860107, 'loss_main': 3.3372481134202747, 'precision': 0.07364672364672364}
2022-09-30 09:17:27.339027 Step 0/3: precision = 12.000
2022-09-30 09:17:27.536912 Step 1/3: precision = 14.000
